job_role,skills
Data Scientist,"Python, SQL, Machine Learning, Statistics, Data Analysis, Pandas, NumPy, Visualization"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Automation, Linux, Cloud, Git, Terraform"
Backend Developer,"Java, Python, SQL, APIs, Node.js, Databases, Git, System Design"
Frontend Developer,"HTML, CSS, JavaScript, React, UI Design, Web Design, Git, Responsive Design"
Full Stack Developer,"JavaScript, React, Node.js, SQL, APIs, HTML, CSS, Git, Databases"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, Deep Learning, Data Structures, Algorithms, Statistics"
Cloud Architect,"AWS, Cloud, Azure, Kubernetes, Docker, System Design, Networking, Security"
Data Engineer,"Python, SQL, ETL, Data Pipelines, Spark, Cloud, AWS, Databases, Automation"
Cybersecurity Analyst,"Security, Networking, Linux, Python, Cryptography, Risk Assessment, Firewalls"
Mobile App Developer,"Java, Kotlin, Swift, Mobile Development, UI Design, APIs, Git"
Site Reliability Engineer,"Linux, Automation, Kubernetes, Docker, Monitoring, CI/CD, Cloud, Python"
QA Automation Engineer,"Python, Java, Selenium, Testing, Automation, CI/CD, Git"
Database Administrator,"SQL, Databases, Backup, Performance Tuning, Security, Linux, Automation"
Systems Administrator,"Linux, Networking, Automation, Cloud, Security, Scripting, Monitoring"
AI Research Engineer,"Python, Deep Learning, Machine Learning, Research, Statistics, Algorithms, TensorFlow"
